N	COUNTRY	TITLE	URL	VIEWS	SUBSCRIBERS	VIDEOS	REGDATE
193	Россия	TheWarpath	https://www.youtube.com/user/Warpath031	1044977147	4440000	2395	10 сентября 2009 г.
194	Россия	Свинка Пеппа Русский - Официальный канал	https://www.youtube.com/user/OfficialPeppaRussia	3339311298	4420000	823	6 мая 2014 г.
195	Россия	НАСТЯ ИВЛЕЕВА	https://www.youtube.com/channel/UCtGJ_XI0ZGwEmKZaj3VQITw	353276632	4410000	99	2 февраля 2013 г.
196	Россия	Comedy Club	https://www.youtube.com/channel/UCsIEFXNO4bxh0hW3-_z2-0g	1351183463	4400000	146	29 апреля 2016 г.
197	Россия	Raily	https://www.youtube.com/user/WallTheRock	747097295	4400000	1544	14 июля 2013 г.
198	Россия	Edward Bil	https://www.youtube.com/channel/UCjFPu8rOAk1hleLQH6-7_Hg	329672903	4380000	108	28 декабря 2018 г.
199	Россия	smotraTV	https://www.youtube.com/user/smotraTV	873356717	4360000	497	2 декабря 2009 г.
200	Россия	TRUE GYM MMA	https://www.youtube.com/channel/UCkrbi2bmw7DQuuC8k4TP-QA	1353239044	4300000	1147	29 ноября 2014 г.
201	Россия	The Люди	https://www.youtube.com/channel/UCwPzq5yQwczLmivBX8zq7Mw	462192104	4290000	100	5 июля 2017 г.
202	Россия	Юлик	https://www.youtube.com/user/JuliusSpeak	1340785289	4290000	2129	14 августа 2013 г.
203		RED21	https://www.youtube.com/user/MrVrschool	1034910834	4280000	1337	17 апреля 2012 г.
204	Россия	GAN_13_	https://www.youtube.com/channel/UC83gPvleQosu4R3f0U3z-tg	1625567127	4280000	344	28 августа 2016 г.
205		Funny Friends	https://www.youtube.com/channel/UCJHLDABSk22tuRHH8KcwEZg	1602161602	4270000	879	7 июня 2017 г.
206	Россия	Жекич Дубровский	https://www.youtube.com/user/fulllux	654291631	4240000	335	6 марта 2013 г.
207		Maria Way	https://www.youtube.com/user/MWaytv	168402342	4220000	56	3 апреля 2012 г.
208	ОАЭ	KEDOO СЕРИАЛЫ	https://www.youtube.com/user/pelmeniTV	2352900	4220000	122	27 июня 2012 г.
209	Россия	Cartoon Network Россия	https://www.youtube.com/user/CartoonNetworkRuss	2338856170	4210000	2293	12 марта 2012 г.
